,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD),,
,Aug-14-2018,-0.26%,0.25%,,,
,Aug-15-2018,0.25%,-0.44%,,,
,Aug-16-2018,-0.44%,-0.42%,,,
,Aug-17-2018,-0.42%,0.30%,,,
,Aug-20-2018,0.30%,-0.32%,,,
,Aug-21-2018,-0.32%,0.05%,,,
,Aug-22-2018,0.05%,0.60%,,,
,Aug-23-2018,0.60%,0.00%,,,
,Aug-24-2018,0.00%,0.60%,,,
,Aug-27-2018,0.60%,0.47%,,,
,Aug-28-2018,0.47%,-0.11%,,,
,Aug-29-2018,-0.11%,0.99%,,,
,Aug-30-2018,0.99%,-0.04%,,,
,Aug-31-2018,-0.04%,0.23%,,,
,Sep-4-2018,0.23%,-0.12%,,,
,Sep-5-2018,-0.12%,-1.13%,,,
,Sep-6-2018,-1.13%,-0.94%,,,
,Sep-7-2018,-0.94%,0.40%,,,
,Sep-10-2018,0.40%,-0.22%,,,
,Sep-11-2018,-0.22%,1.19%,,,
,Sep-12-2018,1.19%,-0.15%,,,
,Sep-13-2018,-0.15%,0.43%,,,
,Sep-14-2018,0.43%,-0.36%,,,
,Sep-18-2018,-0.36%,0.72%,,,
,Sep-19-2018,0.72%,-0.09%,,,
,Sep-20-2018,-0.09%,0.38%,,,
,Sep-21-2018,0.38%,-0.86%,,,
,Sep-24-2018,-0.86%,0.97%,,,
,Sep-25-2018,0.97%,0.19%,,,
,Sep-26-2018,0.19%,-0.02%,,,
,Sep-27-2018,-0.02%,0.42%,,,
,Sep-28-2018,0.42%,0.29%,,,
,Oct-1-2018,0.29%,-0.36%,,,
,Oct-2-2018,-0.36%,-0.11%,,,
,Oct-3-2018,-0.11%,-0.28%,,,
,Oct-4-2018,-0.28%,-1.50%,,,
,Oct-5-2018,-1.50%,-1.21%,,,
,Oct-8-2018,-1.21%,-0.14%,,,
,Oct-9-2018,-0.14%,0.22%,,,
,Oct-10-2018,0.22%,-3.83%,,,
,Oct-11-2018,-3.83%,-0.84%,,,
,Oct-12-2018,-0.84%,0.19%,,,
,Oct-15-2018,0.19%,-0.92%,,,
,Oct-16-2018,-0.92%,1.80%,,,
,Oct-17-2018,1.80%,-0.48%,,,
,Oct-18-2018,-0.48%,-1.85%,,,
,Oct-19-2018,-1.85%,-0.77%,,,
,Oct-22-2018,-0.77%,-0.06%,,,
,Oct-23-2018,-0.06%,1.52%,,,
,Oct-24-2018,1.52%,-4.49%,,,
,Oct-25-2018,-4.49%,1.76%,,,
